director_name,num_critic_for_reviews,genres,movie_title,language,country,title_year,imdb_score
James Cameron,723,Action,Avatar ,English,USA,2009,7.9
Gore Verbinski,302,Adventure,Pirates of the Caribbean: At World's End ,English,USA,2007,7.1
Sam Mendes,602,Thriller,Spectre ,English,UK,2015,6.8
Christopher Nolan,813,Action,The Dark Knight Rises ,English,USA,2012,8.5
Andrew Stanton,462,Sci-Fi,John Carter ,English,USA,2012,6.6
Sam Raimi,392,Romance,Spider-Man 3 ,English,USA,2007,6.2
Nathan Greno,324,Comedy,Tangled ,English,USA,2010,7.8
Joss Whedon,635,Adventure,Avengers: Age of Ultron ,English,USA,2015,7.5
David Yates,375,Mystery,Harry Potter and the Half-Blood Prince ,English,UK,2009,7.5
Zack Snyder,673,Sci-Fi,Batman v Superman: Dawn of Justice ,English,USA,2016,6.9
Bryan Singer,434,Action,Superman Returns ,English,USA,2006,6.1
Marc Forster,403,Adventure,Quantum of Solace ,English,UK,2008,6.7
Gore Verbinski,313,Fantasy,Pirates of the Caribbean: Dead Man's Chest ,English,USA,2006,7.3
Gore Verbinski,450,Action,The Lone Ranger ,English,USA,2013,6.5
Zack Snyder,733,Action,Man of Steel ,English,USA,2013,7.2
Andrew Adamson,258,Fantasy,The Chronicles of Narnia: Prince Caspian ,English,USA,2008,6.6
Joss Whedon,703,Sci-Fi,The Avengers ,English,USA,2012,8.1
Rob Marshall,448,Action,Pirates of the Caribbean: On Stranger Tides ,English,USA,2011,6.7
Barry Sonnenfeld,451,Action,Men in Black 3 ,English,USA,2012,6.8
Peter Jackson,422,Adventure,The Hobbit: The Battle of the Five Armies ,English,New Zealand,2014,7.5
Marc Webb,599,Action,The Amazing Spider-Man ,English,USA,2012,7
Ridley Scott,343,Drama,Robin Hood ,English,USA,2010,6.7
Peter Jackson,509,Adventure,The Hobbit: The Desolation of Smaug ,English,USA,2013,7.9
